Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2015-05-07,3844,199.0,3845.0,2015,12.0379,465.75,472.75,2631.0,2359.0,201505,72.3207,0.5341665,59.485,46.63575,0,Thursday
2015-05-14,3825,138.0,3845.0,2015,11.7867,501.75,514.25,2770.0,2396.0,201505,72.3207,0.5341665,59.485,46.63575,0,Thursday
2015-05-21,3810,199.0,3805.0,2015,11.8246,522.0,529.5,2801.0,2429.0,201505,72.3207,0.5341665,59.485,46.63575,0,Thursday
2015-05-28,3815,298.0,3820.0,2015,12.1367,488.75,494.5,2713.0,2389.0,201505,72.3207,0.5341665,59.485,46.63575,0,Thursday
2015-06-04,3839,128.0,3839.0,2015,12.3815,523.75,529.25,2740.0,2418.0,201506,63.05725,2.1875,51.9028,40.727,0,Thursday
2015-06-11,3846,122.0,3815.0,2015,12.3577,504.25,511.5,2864.0,2500.0,201506,63.05725,2.1875,51.9028,40.727,0,Thursday
2015-06-18,3847,905.0,3858.0,2015,12.2469,488.0,493.25,2994.0,2588.0,201506,63.05725,2.1875,51.9028,40.727,0,Thursday
2015-06-25,3822,566.0,3835.0,2015,12.1102,532.0,538.0,3006.0,2567.0,201506,63.05725,2.1875,51.9028,40.727,0,Thursday
2015-07-02,3815,428.0,3785.0,2015,12.2492,585.75,590.5,3009.0,2658.0,201507,62.4922,1.8325,51.78335,41.06535,0,Thursday
2015-07-09,3875,200.0,3880.0,2015,12.5108,572.25,578.0,3250.0,2859.0,201507,62.4922,1.8325,51.78335,41.06535,0,Thursday
2015-07-16,3890,338.0,3900.0,2015,12.3899,562.25,571.0,3197.0,2806.0,201507,62.4922,1.8325,51.78335,41.06535,0,Thursday
2015-07-23,3890,53.0,3865.0,2015,12.4512,521.5,528.75,3090.0,2721.0,201507,62.4922,1.8325,51.78335,41.06535,0,Thursday
2015-07-30,3992,2448.0,3938.0,2015,12.6996,496.5,504.25,3201.0,2713.0,201507,62.4922,1.8325,51.78335,41.06535,0,Thursday
2015-08-06,4047,610.0,4040.0,2015,12.7163,507.0,511.25,3149.0,2688.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Thursday
2015-08-13,4024,349.0,4015.0,2015,12.8107,503.25,509.0,3027.0,2653.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Thursday
2015-08-20,4101,1478.0,4089.0,2015,12.9352,506.25,511.25,3041.0,2722.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Thursday
2015-08-27,4137,366.0,4135.0,2015,13.1397,484.25,489.75,3019.0,2750.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Thursday
2015-09-03,4177,785.0,4160.0,2015,13.5655,456.5,465.25,3084.0,2801.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Thursday
2015-09-10,4190,382.0,4180.0,2015,13.6298,468.0,478.0,3103.0,2856.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Thursday
2015-09-17,4077,775.0,4060.0,2015,13.3525,481.5,488.5,3110.0,2850.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Thursday
2015-10-01,4130,595.0,4123.0,2015,13.9221,518.25,524.25,3176.0,2931.0,201510,79.6812,0.964167,67.0968,54.4973,0,Thursday
2015-10-08,4153,280.0,4120.0,2015,13.3092,511.5,519.0,3289.0,2918.0,201510,79.6812,0.964167,67.0968,54.4973,0,Thursday
2015-10-15,4181,863.0,4188.0,2015,13.0471,502.5,510.5,3166.0,2836.0,201510,79.6812,0.964167,67.0968,54.4973,0,Thursday
2015-10-22,4283,3020.0,4240.0,2015,13.399,490.75,497.0,3169.0,2885.0,201510,79.6812,0.964167,67.0968,54.4973,0,Thursday
2015-10-29,4323,996.0,4315.0,2015,13.8959,515.0,519.5,3024.0,2905.0,201510,79.6812,0.964167,67.0968,54.4973,0,Thursday
2015-11-05,4384,1303.0,4370.0,2015,13.8917,526.25,527.0,3319.0,3020.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Thursday
2015-11-12,4456,1527.0,4420.0,2015,14.3104,498.0,500.25,3114.0,2922.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Thursday
2015-11-19,4449,2426.0,4465.0,2015,14.029,490.75,492.25,3241.0,3205.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Thursday
2015-11-26,4502,4072.0,4495.0,2015,14.2882,,,3299.0,3275.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Thursday
2015-12-03,4529,633.0,4548.0,2015,14.3616,464.75,478.75,3555.0,3440.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Thursday
