DL_REQUEST_ID,DL_REQUEST_NAME,DL_SNAPSHOT_START_TIME,DL_SNAPSHOT_TZ,IDENTIFIER,RC,DATE,PX_VOLUME,PX_OPEN
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-01-10,3,5960
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-12,28,5971
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-13,23,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-14,20,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-16,17,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-19,20,5799.2
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-20,29,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-26,52,6003.6
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-02-28,17,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-05,8,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-06,11,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-07,9,5850
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-08,3,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-11,212,5990
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-12,96,6008.2
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-13,11,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-14,6,5900
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-18,53,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-22,13,6020
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-25,39,6100
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-26,14,6100
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-27,5,6100
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-03-28,16,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-02,84,6130
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-03,81,6140
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-04,212,6148.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-05,155,6079
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-08,101,6076
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-09,84,6149
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-10,329,6149.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-11,202,6031
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-12,28,5925
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-15,4,
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-16,112,5981
