Horizon,sum,count,percentage,avg_mape
1,16,31,51.61290322580645,0.049023960254816604
2,18,30,60.0,0.0431026387284451
3,18,29,62.06896551724138,0.042671309387902555
4,23,28,82.14285714285714,0.03859329478907776
5,21,27,77.77777777777779,0.03549315813570957
6,18,26,69.23076923076923,0.03569031798053061
7,20,25,80.0,0.03677492495293873
8,21,24,87.5,0.037556765810572504
9,17,23,73.91304347826086,0.037364828258875556
10,18,22,81.81818181818183,0.03751282502728844
11,18,21,85.71428571428571,0.03929613017417408
12,16,20,80.0,0.038650137559007154
13,16,19,84.21052631578947,0.0376129875123303
14,16,18,88.88888888888889,0.039531261360069896
15,16,18,88.88888888888889,0.04870635583351993
16,15,17,88.23529411764706,0.04966829417829035
17,14,16,87.5,0.049578259943389144
18,13,15,86.66666666666667,0.04847273015186578
19,12,14,85.71428571428571,0.04793845850931105
20,12,14,85.71428571428571,0.05175883580112547
21,11,13,84.61538461538461,0.05647610847687422
22,10,12,83.33333333333334,0.062006189327098254
23,9,11,81.81818181818183,0.06708722741743439
24,9,10,90.0,0.06501893403208998
25,8,9,88.88888888888889,0.06153087842507052
26,7,8,87.5,0.06636531944949017
27,7,7,100.0,0.07309162855684316
28,6,6,100.0,0.0807369392069126
29,5,5,100.0,0.09260363644556721
30,4,4,100.0,0.09191939023578113
31,3,3,100.0,0.09811000965944272
32,2,2,100.0,0.09647536600913703
33,1,1,100.0,0.09454225344000952
