Horizon,sum,count,percentage,avg_mape
1,16,28,57.14285714285714,0.08488240302278792
2,17,27,62.96296296296296,0.08355498467264318
3,14,26,53.84615384615385,0.08197292042670647
4,17,25,68.0,0.08165580480752535
5,19,24,79.16666666666666,0.07569113574164836
6,19,23,82.6086956521739,0.07378160450841452
7,16,23,69.56521739130434,0.0757100520639912
8,19,22,86.36363636363636,0.07251876282636077
9,18,21,85.71428571428571,0.07025898533677542
10,15,20,75.0,0.07116735946777263
11,15,19,78.94736842105263,0.07067715756917456
12,16,18,88.88888888888889,0.06715606216752551
13,15,17,88.23529411764706,0.06381203544892433
14,14,16,87.5,0.06084952808061175
15,13,15,86.66666666666667,0.0575935815768882
16,14,14,100.0,0.05283802474752144
17,13,13,100.0,0.05237954792041987
18,12,12,100.0,0.04923591723841909
19,11,11,100.0,0.046541889345442074
20,10,10,100.0,0.04752467764324927
21,9,9,100.0,0.04277656543548976
22,8,8,100.0,0.04005936818743529
23,7,7,100.0,0.03426083574473553
24,6,6,100.0,0.031482458660472605
25,6,6,100.0,0.01936632893060088
26,5,5,100.0,0.01443417356764412
27,4,4,100.0,0.007420786654115845
28,3,3,100.0,0.012521413136176435
29,2,2,100.0,0.013336959367670702
30,1,1,100.0,0.004332331614500939
